motion_id,name,description,type,file
derived_mirror_c9ccf8d5-b96c-11e4-a802-0aaa78deedf9,Derived Mirror Walk Arc Right,Post-retarget sagittal mirror of vetted natural female Walk Arc Left,Motion,download/c9ccf8d5-b96c-11e4-a802-0aaa78deedf9.fbx
c9c72233-b96c-11e4-a802-0aaa78deedf9,Body Block,Blocking Body With Arms,Motion,download/c9c72233-b96c-11e4-a802-0aaa78deedf9.fbx
c9c69305-b96c-11e4-a802-0aaa78deedf9,Double Dagger Stab,Static Double Dagger Stab With Outward Grip,Motion,download/c9c69305-b96c-11e4-a802-0aaa78deedf9.fbx
c9c6b165-b96c-11e4-a802-0aaa78deedf9,Zombie Stand Up,Zombie Laying On Back To Standing Up,Motion,download/c9c6b165-b96c-11e4-a802-0aaa78deedf9.fbx
c9c6fa80-b96c-11e4-a802-0aaa78deedf9,Hip Hop Dancing,Hip Hop Dancing Bboy Variation One,Motion,download/c9c6fa80-b96c-11e4-a802-0aaa78deedf9.fbx
c9c6ba36-b96c-11e4-a802-0aaa78deedf9,Slow Jog Backwards,Jogging Slowly In Reverse Varying Angles Of Twist,Motion,download/c9c6ba36-b96c-11e4-a802-0aaa78deedf9.fbx
c9c646a9-b96c-11e4-a802-0aaa78deedf9,Reloading,Gun Reload While Walking,Motion,download/c9c646a9-b96c-11e4-a802-0aaa78deedf9.fbx
c9c650df-b96c-11e4-a802-0aaa78deedf9,Dancing,"Female ""African Noodle"" Dance",Motion,download/c9c650df-b96c-11e4-a802-0aaa78deedf9.fbx
c9c65d8a-b96c-11e4-a802-0aaa78deedf9,Hip Hop Dancing,Female Hip Hop 'Body Wave' Dancing,Motion,download/c9c65d8a-b96c-11e4-a802-0aaa78deedf9.fbx
c9c671b2-b96c-11e4-a802-0aaa78deedf9,Strut Walking,Male Strut Walk,Motion,download/c9c671b2-b96c-11e4-a802-0aaa78deedf9.fbx
c9c64ab0-b96c-11e4-a802-0aaa78deedf9,Jumping Down,Male Menacing Jump Down,Motion,download/c9c64ab0-b96c-11e4-a802-0aaa78deedf9.fbx
c9c5f9cb-b96c-11e4-a802-0aaa78deedf9,Punching,Hook With The Lead Hand,Motion,download/c9c5f9cb-b96c-11e4-a802-0aaa78deedf9.fbx
d3a09098-c43e-49e7-85f3-fcc86760517a,Standing 2H Magic Attack 01,Two Handed Casting Spell Fowards,Motion,download/d3a09098-c43e-49e7-85f3-fcc86760517a.fbx
14edbafc-0099-4c35-9f66-25e095c7fcd6,Catwalk Idle To Twist R,Female Idle To Twist Right Idle,Motion,download/14edbafc-0099-4c35-9f66-25e095c7fcd6.fbx
51e30f03-9fbf-4d0a-a1b4-489f94e85245,Standing Idle 03,Playing With Magic,Motion,download/51e30f03-9fbf-4d0a-a1b4-489f94e85245.fbx
946fd0d3-815b-4653-8be1-1a2e5b9cc688,Catwalk Walk Forward HighKnees,Female Walk Forward - Knees High,Motion,download/946fd0d3-815b-4653-8be1-1a2e5b9cc688.fbx
c9ceef5f-b96c-11e4-a802-0aaa78deedf9,Unarmed Turn Left 90,Turning 90 Degrees Left,Motion,download/c9ceef5f-b96c-11e4-a802-0aaa78deedf9.fbx
c9cad4c4-b96c-11e4-a802-0aaa78deedf9,Start Plank,Start Plank From Fitness Idle,Motion,download/c9cad4c4-b96c-11e4-a802-0aaa78deedf9.fbx
c9caee1d-b96c-11e4-a802-0aaa78deedf9,Center Block,High Center Block,Motion,download/c9caee1d-b96c-11e4-a802-0aaa78deedf9.fbx
c9c9f63d-b96c-11e4-a802-0aaa78deedf9,Talking On Phone,Female Standing Talking On Phone,Motion,download/c9c9f63d-b96c-11e4-a802-0aaa78deedf9.fbx
c9ca84cb-b96c-11e4-a802-0aaa78deedf9,Drop Kick,Male Kicking With Both Legs,Motion,download/c9ca84cb-b96c-11e4-a802-0aaa78deedf9.fbx
